Time [fs],Original field real,Original field imaginary,RK4 field real,RK4 field imaginary,Analytical real,Analytical imaginary
-102.4,3.05839e-07,0,3.05839e-07,-3.25401e-20,3.05839e-07,-3.25401e-20
-102.3,3.15636e-07,0,3.15636e-07,-3.57683e-20,3.15636e-07,-3.57683e-20
-102.2,3.25736e-07,0,3.25736e-07,-3.93133e-20,3.25736e-07,-3.93133e-20
-102.1,3.3615e-07,0,3.3615e-07,-4.32058e-20,3.3615e-07,-4.32058e-20
-102,3.46885e-07,0,3.46885e-07,-4.74788e-20,3.46885e-07,-4.74788e-20
-101.9,3.57953e-07,0,3.57953e-07,-5.21698e-20,3.57953e-07,-5.21698e-20
-101.8,3.69362e-07,0,3.69362e-07,-5.73191e-20,3.69362e-07,-5.73191e-20
-101.7,3.81124e-07,0,3.81124e-07,-6.29708e-20,3.81124e-07,-6.29708e-20
-101.6,3.93248e-07,0,3.93248e-07,-6.91738e-20,3.93248e-07,-6.91738e-20
-101.5,4.05744e-07,0,4.05744e-07,-7.59798e-20,4.05744e-07,-7.59798e-20
-101.4,4.18625e-07,0,4.18625e-07,-8.34483e-20,4.18625e-07,-8.34483e-20
-101.3,4.31902e-07,0,4.31902e-07,-9.16424e-20,4.31902e-07,-9.16424e-20
-101.2,4.45586e-07,0,4.45586e-07,-1.00632e-19,4.45586e-07,-1.00632e-19
-101.1,4.5969e-07,0,4.5969e-07,-1.10494e-19,4.5969e-07,-1.10494e-19
-101,4.74226e-07,0,4.74226e-07,-1.2131e-19,4.74226e-07,-1.2131e-19
-100.9,4.89204e-07,0,4.89204e-07,-1.33172e-19,4.89204e-07,-1.33172e-19
-100.8,5.04642e-07,0,5.04642e-07,-1.46181e-19,5.04642e-07,-1.46181e-19
-100.7,5.2055e-07,0,5.2055e-07,-1.60446e-19,5.2055e-07,-1.60446e-19
-100.6,5.36945e-07,0,5.36945e-07,-1.76088e-19,5.36945e-07,-1.76088e-19
-100.5,5.53837e-07,0,5.53837e-07,-1.93236e-19,5.53837e-07,-1.93236e-19
-100.4,5.71242e-07,0,5.71242e-07,-2.12033e-19,5.71242e-07,-2.12033e-19
-100.3,5.89178e-07,0,5.89178e-07,-2.32638e-19,5.89178e-07,-2.32638e-19
-100.2,6.07658e-07,0,6.07658e-07,-2.55222e-19,6.07658e-07,-2.55222e-19
-100.1,6.26699e-07,0,6.26699e-07,-2.79974e-19,6.26699e-07,-2.79974e-19
-100,6.46316e-07,0,6.46316e-07,-3.07097e-19,6.46316e-07,-3.07097e-19
-99.9,6.66525e-07,0,6.66525e-07,-3.36814e-19,6.66525e-07,-3.36814e-19
-99.8,6.87346e-07,0,6.87346e-07,-3.69375e-19,6.87346e-07,-3.69375e-19
-99.7,7.08796e-07,0,7.08796e-07,-4.05046e-19,7.08796e-07,-4.05046e-19
-99.6,7.30894e-07,0,7.30894e-07,-4.44124e-19,7.30894e-07,-4.44124e-19
-99.5,7.53656e-07,0,7.53656e-07,-4.86923e-19,7.53656e-07,-4.86923e-19
-99.4,7.77103e-07,0,7.77103e-07,-5.33798e-19,7.77103e-07,-5.33798e-19
-99.3,8.01253e-07,0,8.01253e-07,-5.85128e-19,8.01253e-07,-5.85128e-19
-99.2,8.2613e-07,0,8.2613e-07,-6.41338e-19,8.2613e-07,-6.41338e-19
-99.1,8.51755e-07,0,8.51755e-07,-7.02888e-19,8.51755e-07,-7.02888e-19
-99,8.78146e-07,0,8.78146e-07,-7.70268e-19,8.78146e-07,-7.70268e-19
-98.9,9.05327e-07,0,9.05327e-07,-8.4403e-19,9.05327e-07,-8.4403e-19
-98.8,9.33318e-07,0,9.33318e-07,-9.24763e-19,9.33318e-07,-9.24763e-19
-98.7,9.62148e-07,0,9.62148e-07,-1.01313e-18,9.62148e-07,-1.01313e-18
-98.6,9.91839e-07,0,9.91839e-07,-1.10985e-18,9.91839e-07,-1.10985e-18
-98.5,1.02241e-06,0,1.02241e-06,-1.21568e-18,1.02241e-06,-1.21568e-18
-98.4,1.0539e-06,0,1.0539e-06,-1.33148e-18,1.0539e-06,-1.33148e-18
-98.3,1.08631e-06,0,1.08631e-06,-1.45817e-18,1.08631e-06,-1.45817e-18
-98.2,1.1197e-06,0,1.1197e-06,-1.59677e-18,1.1197e-06,-1.59677e-18
-98.1,1.15407e-06,0,1.15407e-06,-1.7484e-18,1.15407e-06,-1.7484e-18
-98,1.18946e-06,0,1.18946e-06,-1.91423e-18,1.18946e-06,-1.91423e-18
-97.9,1.2259e-06,0,1.2259e-06,-2.0956e-18,1.2259e-06,-2.0956e-18
-97.8,1.26342e-06,0,1.26342e-06,-2.29394e-18,1.26342e-06,-2.29395e-18
-97.7,1.30204e-06,0,1.30204e-06,-2.51081e-18,1.30204e-06,-2.51081e-18
-97.6,1.34181e-06,0,1.34181e-06,-2.74797e-18,1.34181e-06,-2.74797e-18
-97.5,1.38274e-06,0,1.38274e-06,-3.00722e-18,1.38274e-06,-3.00722e-18
-97.4,1.42488e-06,0,1.42488e-06,-3.29063e-18,1.42488e-06,-3.29063e-18
-97.3,1.46826e-06,0,1.46826e-06,-3.60042e-18,1.46826e-06,-3.60042e-18
-97.2,1.51291e-06,0,1.51291e-06,-3.93898e-18,1.51291e-06,-3.93898e-18
-97.1,1.55888e-06,0,1.55888e-06,-4.30903e-18,1.55888e-06,-4.30903e-18
-97,1.60619e-06,0,1.60619e-06,-4.71338e-18,1.60619e-06,-4.71338e-18
-96.9,1.65489e-06,0,1.65489e-06,-5.1552e-18,1.65489e-06,-5.15521e-18
-96.8,1.70501e-06,0,1.70501e-06,-5.63792e-18,1.70501e-06,-5.63792e-18
-96.7,1.75659e-06,0,1.75659e-06,-6.16523e-18,1.75659e-06,-6.16523e-18
-96.6,1.80968e-06,0,1.80968e-06,-6.74131e-18,1.80968e-06,-6.74131e-18
-96.5,1.86431e-06,0,1.86431e-06,-7.3705e-18,1.86431e-06,-7.3705e-18
-96.4,1.92054e-06,0,1.92054e-06,-8.05767e-18,1.92054e-06,-8.05767e-18
-96.3,1.9784e-06,0,1.9784e-06,-8.80809e-18,1.9784e-06,-8.80809e-18
-96.2,2.03794e-06,0,2.03794e-06,-9.62751e-18,2.03794e-06,-9.62751e-18
-96.1,2.09921e-06,0,2.09921e-06,-1.05222e-17,2.09921e-06,-1.05222e-17
-96,2.16225e-06,0,2.16225e-06,-1.14989e-17,2.16225e-06,-1.14989e-17
-95.9,2.22712e-06,0,2.22712e-06,-1.25652e-17,2.22712e-06,-1.25652e-17
-95.8,2.29386e-06,0,2.29386e-06,-1.37291e-17,2.29386e-06,-1.37291e-17
-95.7,2.36253e-06,0,2.36253e-06,-1.49994e-17,2.36253e-06,-1.49994e-17
-95.6,2.43318e-06,0,2.43318e-06,-1.63857e-17,2.43318e-06,-1.63857e-17
-95.5,2.50587e-06,0,2.50587e-06,-1.78984e-17,2.50587e-06,-1.78984e-17
-95.4,2.58065e-06,0,2.58065e-06,-1.95491e-17,2.58065e-06,-1.95491e-17
-95.3,2.65757e-06,0,2.65757e-06,-2.135e-17,2.65757e-06,-2.135e-17
-95.2,2.73671e-06,0,2.73671e-06,-2.33146e-17,2.73671e-06,-2.33146e-17
-95.1,2.81812e-06,0,2.81812e-06,-2.54578e-17,2.81812e-06,-2.54578e-17
-95,2.90186e-06,0,2.90186e-06,-2.77951e-17,2.90186e-06,-2.77951e-17
-94.9,2.98799e-06,0,2.98799e-06,-3.03444e-17,2.98799e-06,-3.03444e-17
-94.8,3.07659e-06,0,3.07659e-06,-3.31245e-17,3.07659e-06,-3.31245e-17
-94.7,3.16772e-06,0,3.16772e-06,-3.61559e-17,3.16772e-06,-3.61559e-17
-94.6,3.26145e-06,0,3.26145e-06,-3.94614e-17,3.26145e-06,-3.94614e-17
-94.5,3.35784e-06,0,3.35784e-06,-4.30645e-17,3.35784e-06,-4.30645e-17
-94.4,3.45697e-06,0,3.45697e-06,-4.69925e-17,3.45697e-06,-4.69925e-17
-94.3,3.55893e-06,0,3.55893e-06,-5.12742e-17,3.55893e-06,-5.12742e-17
-94.2,3.66378e-06,0,3.66378e-06,-5.59407e-17,3.66378e-06,-5.59407e-17
-94.1,3.77161e-06,0,3.77161e-06,-6.10267e-17,3.77161e-06,-6.10267e-17
-94,3.88247e-06,0,3.88247e-06,-6.65681e-17,3.88247e-06,-6.65681e-17
-93.9,3.99648e-06,0,3.99648e-06,-7.26065e-17,3.99648e-06,-7.26065e-17
-93.8,4.11372e-06,0,4.11372e-06,-7.91852e-17,4.11372e-06,-7.91852e-17
-93.7,4.23426e-06,0,4.23426e-06,-8.63521e-17,4.23426e-06,-8.63521e-17
-93.6,4.35821e-06,0,4.35821e-06,-9.41595e-17,4.3582e-06,-9.41595e-17
-93.5,4.48563e-06,0,4.48563e-06,-1.02663e-16,4.48563e-06,-1.02663e-16
-93.4,4.61664e-06,0,4.61664e-06,-1.11923e-16,4.61664e-06,-1.11923e-16
-93.3,4.75133e-06,0,4.75133e-06,-1.22007e-16,4.75133e-06,-1.22007e-16
-93.2,4.8898e-06,0,4.8898e-06,-1.32989e-16,4.8898e-06,-1.32989e-16
-93.1,5.03216e-06,0,5.03216e-06,-1.44946e-16,5.03216e-06,-1.44946e-16
-93,5.1785e-06,0,5.1785e-06,-1.57962e-16,5.1785e-06,-1.57962e-16
-92.9,5.32892e-06,0,5.32892e-06,-1.7213e-16,5.32892e-06,-1.7213e-16
-92.8,5.48354e-06,0,5.48354e-06,-1.87553e-16,5.48354e-06,-1.87553e-16
-92.7,5.64249e-06,0,5.64249e-06,-2.0434e-16,5.64249e-06,-2.0434e-16
-92.6,5.80587e-06,0,5.80587e-06,-2.22609e-16,5.80587e-06,-2.22609e-16
-92.5,5.97378e-06,0,5.97378e-06,-2.42488e-16,5.97378e-06,-2.42488e-16
-92.4,6.14635e-06,0,6.14635e-06,-2.64115e-16,6.14635e-06,-2.64115e-16
-92.3,6.32373e-06,0,6.32373e-06,-2.87647e-16,6.32373e-06,-2.87647e-16
-92.2,6.50602e-06,0,6.50602e-06,-3.13247e-16,6.50602e-06,-3.13247e-16
-92.1,6.69337e-06,0,6.69337e-06,-3.41096e-16,6.69337e-06,-3.41096e-16
-92,6.8859e-06,0,6.8859e-06,-3.71384e-16,6.8859e-06,-3.71384e-16
-91.9,7.08374e-06,0,7.08374e-06,-4.04323e-16,7.08374e-06,-4.04323e-16
-91.8,7.28703e-06,0,7.28703e-06,-4.40142e-16,7.28703e-06,-4.40142e-16
-91.7,7.49593e-06,0,7.49593e-06,-4.79091e-16,7.49593e-06,-4.79091e-16
-91.6,7.71061e-06,0,7.71061e-06,-5.21443e-16,7.71061e-06,-5.21443e-16
-91.5,7.93117e-06,0,7.93117e-06,-5.67483e-16,7.93117e-06,-5.67482e-16
-91.4,8.15779e-06,0,8.15779e-06,-6.1753e-16,8.15779e-06,-6.1753e-16
-91.3,8.3906e-06,0,8.3906e-06,-6.71925e-16,8.3906e-06,-6.71925e-16
-91.2,8.62982e-06,0,8.62982e-06,-7.31048e-16,8.62982e-06,-7.31049e-16
-91.1,8.8756e-06,0,8.8756e-06,-7.95305e-16,8.8756e-06,-7.95305e-16
-91,9.12808e-06,0,9.12808e-06,-8.65125e-16,9.12808e-06,-8.65125e-16
-90.9,9.38745e-06,0,9.38745e-06,-9.40987e-16,9.38745e-06,-9.40987e-16
-90.8,9.65387e-06,0,9.65387e-06,-1.0234e-15,9.65387e-06,-1.0234e-15
-90.7,9.92757e-06,0,9.92757e-06,-1.11294e-15,9.92757e-06,-1.11294e-15
-90.6,1.02087e-05,0,1.02087e-05,-1.2102e-15,1.02087e-05,-1.2102e-15
-90.5,1.04975e-05,0,1.04975e-05,-1.31584e-15,1.04975e-05,-1.31584e-15
-90.4,1.07941e-05,0,1.07941e-05,-1.43056e-15,1.07941e-05,-1.43056e-15
-90.3,1.10988e-05,0,1.10988e-05,-1.55514e-15,1.10988e-05,-1.55514e-15
-90.2,1.14117e-05,0,1.14117e-05,-1.69041e-15,1.14117e-05,-1.69041e-15
-90.1,1.17331e-05,0,1.17331e-05,-1.83729e-15,1.17331e-05,-1.83729e-15
-90,1.20631e-05,0,1.20631e-05,-1.99674e-15,1.20631e-05,-1.99674e-15
-89.9,1.24021e-05,0,1.24021e-05,-2.16983e-15,1.24021e-05,-2.16983e-15
-89.8,1.27502e-05,0,1.27502e-05,-2.3577e-15,1.27502e-05,-2.3577e-15
-89.7,1.31076e-05,0,1.31076e-05,-2.56159e-15,1.31076e-05,-2.56159e-15
-89.6,1.34747e-05,0,1.34747e-05,-2.78288e-15,1.34747e-05,-2.78288e-15
-89.5,1.38516e-05,0,1.38516e-05,-3.023e-15,1.38516e-05,-3.023e-15
-89.4,1.42386e-05,0,1.42386e-05,-3.28353e-15,1.42386e-05,-3.28353e-15
-89.3,1.46359e-05,0,1.46359e-05,-3.56618e-15,1.46359e-05,-3.56618e-15
-89.2,1.50439e-05,0,1.50439e-05,-3.87278e-15,1.50439e-05,-3.87278e-15
-89.1,1.54628e-05,0,1.54628e-05,-4.20541e-15,1.54628e-05,-4.20541e-15
-89,1.58929e-05,0,1.58929e-05,-4.56615e-15,1.58929e-05,-4.56615e-15
