Time [fs],RK4 field real,RK4 field imaginary
-102.4,3.05839e-07,-3.25401e-20
-102.3,3.15636e-07,-3.57684e-20
-102.2,3.25736e-07,-3.93133e-20
-102.1,3.3615e-07,-4.32056e-20
-102,3.46886e-07,-4.74788e-20
-101.9,3.57953e-07,-5.21699e-20
-101.8,3.69363e-07,-5.73192e-20
-101.7,3.81124e-07,-6.29709e-20
-101.6,3.93248e-07,-6.91734e-20
-101.5,4.05744e-07,-7.59799e-20
-101.4,4.18625e-07,-8.34484e-20
-101.3,4.31902e-07,-9.16426e-20
-101.2,4.45586e-07,-1.00632e-19
-101.1,4.5969e-07,-1.10493e-19
-101,4.74225e-07,-1.21309e-19
-100.9,4.89205e-07,-1.33172e-19
-100.8,5.04642e-07,-1.46181e-19
-100.7,5.2055e-07,-1.60446e-19
-100.6,5.36944e-07,-1.76087e-19
-100.5,5.53836e-07,-1.93235e-19
-100.4,5.71243e-07,-2.12033e-19
-100.3,5.89178e-07,-2.32638e-19
-100.2,6.07658e-07,-2.55223e-19
-100.1,6.26698e-07,-2.79973e-19
-100,6.46315e-07,-3.07096e-19
-99.9,6.66525e-07,-3.36815e-19
-99.8,6.87347e-07,-3.69376e-19
-99.7,7.08796e-07,-4.05047e-19
-99.6,7.30893e-07,-4.44122e-19
-99.5,7.53655e-07,-4.86922e-19
-99.4,7.77102e-07,-5.33797e-19
-99.3,8.01254e-07,-5.8513e-19
-99.2,8.26131e-07,-6.4134e-19
-99.1,8.51755e-07,-7.02886e-19
-99,8.78146e-07,-7.70266e-19
-98.9,9.05326e-07,-8.44027e-19
-98.8,9.3332e-07,-9.24767e-19
-98.7,9.62149e-07,-1.01314e-18
-98.6,9.91838e-07,-1.10985e-18
-98.5,1.02241e-06,-1.21568e-18
-98.4,1.0539e-06,-1.33148e-18
-98.3,1.08632e-06,-1.45817e-18
-98.2,1.1197e-06,-1.59678e-18
-98.1,1.15407e-06,-1.74839e-18
-98,1.18946e-06,-1.91423e-18
-97.9,1.2259e-06,-2.0956e-18
-97.8,1.26342e-06,-2.29394e-18
-97.7,1.30204e-06,-2.51083e-18
-97.6,1.34181e-06,-2.74796e-18
-97.5,1.38274e-06,-3.00722e-18
-97.4,1.42488e-06,-3.29063e-18
-97.3,1.46826e-06,-3.60041e-18
-97.2,1.51292e-06,-3.939e-18
-97.1,1.55888e-06,-4.30903e-18
-97,1.60619e-06,-4.71338e-18
-96.9,1.65489e-06,-5.1552e-18
-96.8,1.70501e-06,-5.63792e-18
-96.7,1.75659e-06,-6.16526e-18
-96.6,1.80968e-06,-6.74131e-18
-96.5,1.86431e-06,-7.3705e-18
-96.4,1.92054e-06,-8.05767e-18
-96.3,1.9784e-06,-8.80809e-18
-96.2,2.03794e-06,-9.6275e-18
-96.1,2.09921e-06,-1.05222e-17
-96,2.16225e-06,-1.14989e-17
-95.9,2.22712e-06,-1.25652e-17
-95.8,2.29386e-06,-1.37291e-17
-95.7,2.36253e-06,-1.49994e-17
-95.6,2.43318e-06,-1.63857e-17
-95.5,2.50587e-06,-1.78984e-17
-95.4,2.58065e-06,-1.95491e-17
-95.3,2.65757e-06,-2.135e-17
-95.2,2.73671e-06,-2.33146e-17
-95.1,2.81812e-06,-2.54577e-17
-95,2.90186e-06,-2.77952e-17
-94.9,2.98799e-06,-3.03445e-17
-94.8,3.07659e-06,-3.31245e-17
-94.7,3.16772e-06,-3.6156e-17
-94.6,3.26144e-06,-3.94612e-17
-94.5,3.35784e-06,-4.30645e-17
